Name,cfc2020_10_01run002
Time,2020/10/01 01:28 PM
Notes,1um silica 
User,Cheong Fook Chiong
Sample,Beads
Sample notes,
Sample refractive index,1.34
Measured volume,2.00 μL
Viscosity,1-2 cP
Laser,0.447 μm (Blue)
Temperature,26.7 °C
Channel,2


,d [μm],d uncertainty [μm],n,n uncertainty,z [μm],z uncertainty [μm],v [μm / s],timestamp [s],symmetry
61,1.0487,0.0472,1.4429,0.0076,68.7586,0.2369,2722.1231,9.3357,Spherical
62,1.0958,0.0451,1.4249,0.0070,69.3894,0.1396,2689.8249,9.3823,Spherical
63,1.0361,0.0584,1.4343,0.0113,80.2266,0.1508,2489.6468,9.4889,Spherical
64,1.7554,0.1404,1.3786,0.0245,88.7973,0.2125,1783.9423,9.5155,Non-spherical
65,2.3708,0.1795,1.3808,0.0062,60.7650,1.5110,2535.5352,9.8220,Non-spherical
66,1.4933,0.0737,1.4836,0.0125,87.6772,0.1581,2228.0629,10.0418,Spherical
67,0.8863,0.0572,1.3868,0.0087,67.6693,0.1914,2723.8561,10.1883,Spherical
68,1.2366,0.1019,1.4084,0.0240,71.6444,3.7571,3238.0806,10.6679,Non-spherical
69,3.1866,0.0553,1.3692,0.0011,71.9035,0.6705,3312.8986,10.8011,Non-spherical
70,2.3592,0.0550,1.3602,0.0009,73.5041,0.4703,3288.8157,10.8278,Non-spherical
71,1.0002,0.0369,1.4458,0.0086,77.1178,0.1973,3221.3886,10.8744,Spherical
72,1.9211,0.0265,1.3888,0.0021,75.1604,0.1630,3102.1426,11.0942,Non-spherical
73,1.0599,0.0412,1.4265,0.0100,59.2191,0.1723,1961.6205,11.1342,Spherical
74,1.0377,0.0212,1.4252,0.0068,68.8214,0.1872,2589.4255,11.5672,Spherical
75,2.0902,0.1495,1.3659,0.0030,81.6979,0.4696,2503.1033,11.5938,Non-spherical
76,0.9736,0.0300,1.4474,0.0083,92.1052,0.7495,1823.8901,11.8736,Spherical
77,1.0264,0.0232,1.4361,0.0041,59.3546,0.1776,1937.6071,12.3132,Spherical
78,1.0535,0.0362,1.4327,0.0100,50.8296,0.1502,483.9180,12.4864,Spherical
79,1.0289,0.0161,1.4419,0.0045,51.9427,0.2314,661.7186,12.5330,Spherical
80,0.5993,0.2768,1.4469,0.0255,56.4275,2.5373,1338.5845,12.7129,Spherical
81,1.8155,0.1801,1.3941,0.0168,63.2502,0.1558,2872.4417,12.8128,Non-spherical
82,1.0734,0.0454,1.4299,0.0102,90.3931,0.3140,2016.4084,13.1192,Spherical
83,1.5637,0.0978,1.4072,0.0086,68.0257,0.3729,3035.1991,13.1325,Non-spherical
84,1.0610,0.0330,1.4268,0.0066,87.1380,0.2624,2527.0030,13.1592,Spherical
85,1.0670,0.0342,1.4321,0.0072,90.3707,0.3021,1944.4015,13.4723,Spherical
86,1.1662,0.0400,1.4177,0.0090,84.5905,0.2441,2371.6454,13.6055,Spherical
87,1.9074,0.0289,1.3720,0.0023,76.0353,0.2080,3412.8780,13.8453,Non-spherical
88,1.3102,0.0226,1.4145,0.0020,90.9127,0.3720,2057.4979,14.0918,Spherical
89,1.8657,0.1144,1.3845,0.0095,86.3567,0.3916,2543.2072,14.0951,Spherical
90,1.5614,0.0381,1.4173,0.0056,73.2260,0.0905,2955.1988,14.2982,Spherical
91,2.0922,0.0561,1.3825,0.0040,63.8802,0.2361,2558.8500,14.4448,Non-spherical
92,1.0144,0.0192,1.4489,0.0058,77.5563,0.2352,2901.5941,14.4981,Non-spherical
93,2.9029,0.0675,1.3578,0.0022,83.1824,1.0913,2414.3174,14.7712,Non-spherical
94,0.9978,0.0383,1.4415,0.0074,74.3940,0.2464,2725.6060,14.8112,Spherical
95,1.9581,0.0495,1.3966,0.0060,81.1788,0.3457,3884.5878,14.9044,Non-spherical
96,1.0206,0.0301,1.4345,0.0071,82.4065,0.2397,4546.3262,15.0476,Spherical
97,1.8264,0.0362,1.3819,0.0013,76.4447,0.2674,4238.7630,15.2541,Non-spherical
98,1.0197,0.0647,1.4265,0.0109,78.9075,0.2370,4128.2823,15.3374,Spherical
99,1.0816,0.0543,1.4249,0.0144,82.2388,0.2662,3650.3713,15.3840,Spherical
100,2.7439,0.3860,1.3706,0.0046,82.4439,1.6592,3296.5165,15.4473,Non-spherical
101,2.6307,0.2358,1.3653,0.0063,89.6304,0.6353,2059.4924,15.4773,Non-spherical
102,1.0973,0.0242,1.4237,0.0042,56.2032,0.2477,1763.4077,15.5239,Spherical
103,1.0669,0.0174,1.4365,0.0029,54.7194,0.1154,1455.3597,15.7171,Non-spherical
104,1.0184,0.0286,1.4381,0.0038,77.2564,0.1900,3879.6674,16.0568,Spherical
105,0.5628,0.0522,1.4393,0.0279,69.6809,0.1790,3645.2699,16.0968,Non-spherical
106,2.6849,0.1405,1.3749,0.0071,83.2735,0.3688,3224.9673,16.2167,Non-spherical
107,1.4895,0.1079,1.3987,0.0191,77.1438,0.1129,3313.2551,16.4631,Spherical
108,2.4945,0.2497,1.3631,0.0113,66.3137,0.7128,2976.0983,16.4731,Non-spherical
109,1.0761,0.0509,1.3526,0.0036,54.4065,3.8189,1311.9957,16.5630,Non-spherical
110,1.0151,0.0498,1.4381,0.0134,77.5319,0.1982,3088.1171,16.7162,Spherical
111,1.0725,0.0348,1.4445,0.0090,81.1469,0.2050,2810.3302,16.7829,Non-spherical
112,2.3866,0.0534,1.3685,0.0027,69.7319,0.4072,2913.5023,16.8361,Non-spherical
113,1.0290,0.0366,1.4371,0.0061,59.1690,0.1105,2220.6684,17.2691,Spherical
114,1.9408,0.0290,1.3710,0.0014,69.8261,0.3598,3315.1306,17.3491,Non-spherical
115,2.0696,0.0470,1.3728,0.0008,71.8602,0.5459,2792.8966,17.9086,Non-spherical
116,0.6469,0.0492,1.4048,0.0138,63.3408,0.1076,2605.4209,18.1118,Spherical
117,0.9604,0.0602,1.4607,0.0141,71.6023,0.2101,3502.6763,18.1617,Spherical
118,1.4172,0.1725,1.3498,0.0170,59.6356,0.2823,2307.1227,18.4215,Non-spherical
119,0.9919,0.0514,1.4512,0.0119,88.0239,0.3515,2501.3767,18.4481,Spherical
120,0.5327,0.1069,1.4633,0.0468,75.9464,0.3731,3206.2502,18.5547,Spherical
121,2.1905,0.0662,1.3870,0.0043,74.1490,0.1780,3178.8145,18.6080,Non-spherical
122,1.1347,0.0778,1.3536,0.0034,61.8072,0.3972,2313.5955,18.6680,Non-spherical
123,3.4473,0.1602,1.3744,0.0038,42.4941,1.4434,839.9786,18.8745,Non-spherical
124,2.0747,0.0702,1.3697,0.0048,61.0826,0.2262,2305.8834,18.9078,Non-spherical
125,0.8989,0.0301,1.5253,0.0175,82.6658,0.2202,3082.6047,19.2208,Spherical
126,2.3524,0.0831,1.3476,0.0010,63.1779,0.3118,2808.3854,19.2675,Non-spherical
127,1.0520,0.0291,1.4286,0.0068,90.4530,0.4740,2097.5952,19.3874,Spherical
128,1.1392,0.1279,1.3625,0.0049,60.6098,2.0275,2399.7540,19.4407,Non-spherical
129,1.6327,0.0684,1.3915,0.0053,57.8065,0.1824,1960.5451,19.5539,Non-spherical
130,2.1600,0.0295,1.4906,0.0038,63.3217,0.0643,2447.1029,19.7471,Non-spherical
131,2.2519,0.1134,1.3637,0.0041,48.1686,0.8993,542.4954,19.9269,Non-spherical
132,1.0564,0.0296,1.4409,0.0087,78.0687,0.3529,3269.0553,20.3466,Spherical
133,2.0307,0.0519,1.3914,0.0054,71.3937,0.3475,3242.4464,20.6130,Non-spherical
134,1.7786,0.1415,1.3766,0.0198,89.9509,0.3329,1980.6735,20.7462,Spherical
135,1.0581,0.0379,1.4296,0.0038,76.2088,0.2116,2861.4560,20.9594,Spherical
136,0.2578,0.0156,2.2398,0.0816,57.7625,0.1717,1665.6985,21.1193,Non-spherical
137,0.6754,0.1383,1.3833,0.0527,75.2560,0.2441,2965.5270,21.1293,Non-spherical
138,0.9869,0.0171,1.4496,0.0069,56.9521,0.2280,1521.8661,21.1726,Spherical
139,2.8580,0.0685,1.3786,0.0035,88.3338,0.6425,2050.7065,21.3524,Non-spherical
140,0.5979,0.0103,1.4711,0.0072,62.6828,0.1746,2631.5319,21.6122,Spherical
141,2.0535,0.1934,1.3750,0.0180,66.6580,0.2590,2895.3200,21.7254,Non-spherical
142,0.5822,0.0897,1.4147,0.0404,66.7674,0.2092,2746.6204,21.9319,Non-spherical
143,0.6037,0.2441,1.4109,0.0227,67.9360,2.4073,2827.6623,21.9519,Non-spherical
144,2.9372,0.0297,1.3689,0.0010,70.7316,0.2507,2894.3675,22.0052,Non-spherical
145,1.7275,0.1383,1.4143,0.0124,61.6961,0.9174,2453.8949,22.3582,Non-spherical
146,1.0919,0.0283,1.4263,0.0072,56.3096,0.2973,1838.2717,22.4382,Spherical
147,1.5191,0.0695,1.3451,0.0006,61.1932,0.2829,2581.2919,22.6547,Non-spherical
148,3.4768,0.0670,1.3592,0.0010,72.7202,0.4712,3073.4092,22.7046,Non-spherical
149,0.2037,0.0030,2.7944,0.0620,75.0073,0.3201,3454.4137,22.7313,Non-spherical
150,1.1753,0.0452,1.4183,0.0092,83.5422,0.3188,2697.2289,22.8378,Non-spherical
151,1.0919,0.0336,1.4330,0.0054,74.7895,0.2235,3182.3856,22.8378,Spherical
152,0.4442,0.0921,1.4066,0.0359,62.1944,6.2317,2470.4769,22.8645,Non-spherical
153,1.8566,0.0308,1.4054,0.0035,84.8741,0.1110,2743.5946,22.9178,Spherical
154,1.5062,0.1509,1.4059,0.0190,63.7933,0.2315,2691.4194,22.9311,Spherical
155,2.3259,0.0382,1.3875,0.0024,89.0277,0.2216,1881.4272,23.0776,Non-spherical
156,1.7083,0.0753,1.3986,0.0076,77.5047,0.5127,4300.8764,23.3241,Spherical
157,1.0576,0.0222,1.4309,0.0061,53.5544,0.1973,1429.0650,23.3508,Spherical
158,1.0010,0.0167,1.4435,0.0054,82.7290,0.2617,3906.2439,23.4307,Spherical
159,0.5776,0.0949,1.4386,0.0263,64.1217,0.2669,3533.5402,23.4507,Non-spherical
160,1.0254,0.0424,1.4434,0.0116,84.0961,0.2550,4250.6979,23.4806,Spherical
161,2.6211,0.3238,1.3574,0.0058,57.0034,2.1070,2783.3255,23.5173,Non-spherical
162,0.7149,0.0475,1.4338,0.0200,65.7748,0.1696,4134.1732,23.5406,Spherical
163,1.6760,0.3020,1.3449,0.3268,42.8401,1.5639,39.4118,23.5972,Non-spherical
164,1.4325,0.0410,1.4202,0.0023,73.1559,0.2089,4414.3158,23.6538,Spherical
165,1.1338,0.3637,1.3464,0.4049,40.1752,3.7572,2.0985,23.6905,Non-spherical
166,1.8761,0.0991,1.4085,0.0074,66.9802,0.4798,4212.3410,23.6938,Non-spherical
167,1.8545,0.0848,1.3759,0.0078,91.3035,0.3475,1990.7327,23.9836,Non-spherical
168,1.0088,0.0540,1.4456,0.0113,76.2541,0.1609,3750.7412,24.0568,Spherical
169,1.0149,0.0633,1.4438,0.0169,84.0126,0.2195,2942.1274,24.1701,Spherical
170,1.7568,0.0261,1.4084,0.0053,72.8575,0.1198,3395.3652,24.2767,Spherical
171,1.1226,0.0548,1.4293,0.0125,65.0217,0.1591,2796.1426,24.3166,Spherical
172,1.0285,0.0591,1.3516,0.0012,62.0985,0.2125,2519.6186,24.3299,Non-spherical
173,1.0565,0.0119,1.4364,0.0037,59.4052,0.2069,2063.9632,24.4898,Spherical
174,1.0653,0.0396,1.4322,0.0062,67.3975,0.2368,2883.8491,24.4832,Spherical
175,2.1073,0.0628,1.3700,0.0042,61.7143,0.4124,2517.0709,24.5031,Non-spherical
176,0.9927,0.0333,1.4451,0.0087,81.8617,0.3197,3693.7823,24.5631,Spherical
177,1.7789,0.0989,1.3760,0.0093,56.1573,0.1312,1870.6178,24.6497,Non-spherical
178,1.2745,0.3176,1.3474,0.4053,42.9901,1.7754,12.5540,24.8961,Non-spherical
179,1.5162,0.1309,1.3934,0.0251,88.0829,0.2132,2513.7000,25.0094,Non-spherical
180,1.9463,0.0896,1.3444,0.0008,97.5029,0.4524,684.0835,25.1559,Non-spherical
181,1.3852,0.0572,1.3805,0.0083,66.9095,0.3271,2927.3319,25.1359,Spherical
182,1.1025,0.0286,1.4253,0.0066,76.5536,0.1625,3168.2143,25.1693,Spherical
