Name,cfc2020_10_01run002
Time,2020/10/01 01:28 PM
Notes,1um silica 
User,Cheong Fook Chiong
Sample,Beads
Sample notes,
Sample refractive index,1.34
Measured volume,2.00 μL
Viscosity,1-2 cP
Laser,0.447 μm (Blue)
Temperature,26.7 °C
Channel,2


,d [μm],d uncertainty [μm],n,n uncertainty,z [μm],z uncertainty [μm],v [μm / s],timestamp [s],symmetry
270,1.5333,0.0965,1.3784,0.0084,66.9257,0.3377,2696.9298,38.1185,Spherical
271,1.7395,0.1288,1.3766,0.0230,87.6147,0.3999,2154.9111,38.3117,Spherical
272,1.0354,0.0524,1.4367,0.0145,70.0482,0.1721,2694.2399,38.3250,Spherical
273,1.0684,0.0316,1.4285,0.0086,70.0320,0.2042,3470.9112,38.5049,Spherical
274,1.0420,0.0069,1.4347,0.0017,65.3751,0.1584,3020.9848,38.6181,Spherical
275,2.5308,0.1092,1.3615,0.0033,91.9831,0.1800,1696.4415,38.9112,Non-spherical
276,1.0940,0.0345,1.4346,0.0064,64.4657,0.1313,2628.9995,38.9978,Spherical
277,1.0798,0.0503,1.4254,0.0100,87.8996,0.3139,2321.9713,39.0045,Spherical
278,0.2565,0.2137,2.0499,0.2641,97.3108,2.6006,890.2881,39.3708,Non-spherical
279,1.1750,0.0480,1.4216,0.0112,71.6661,0.0910,2871.1606,39.4108,Spherical
280,1.0031,0.0355,1.4478,0.0094,73.2756,0.1802,2939.6956,39.4108,Spherical
281,1.2931,0.0769,1.3546,0.0038,62.3421,0.2257,2858.5739,39.6173,Non-spherical
282,1.0485,0.0203,1.4360,0.0054,66.1069,0.1992,2982.9895,39.9170,Spherical
283,0.9929,0.0165,1.4535,0.0041,56.8402,0.1745,1710.1463,39.9970,Spherical
284,1.0382,0.0290,1.4337,0.0076,83.3429,0.2514,2817.8092,40.2901,Spherical
285,0.9987,0.0216,1.4424,0.0082,88.4381,0.0943,2745.7043,40.7364,Spherical
286,1.1100,0.0442,1.4258,0.0072,58.6193,0.1724,2085.6894,40.8363,Spherical
287,1.1175,0.0427,1.4248,0.0081,83.9171,0.1879,2937.2030,40.9029,Spherical
288,1.0604,0.0249,1.4314,0.0042,82.7953,0.2187,3048.7172,40.9429,Spherical
289,1.1506,0.0615,1.4203,0.0180,91.4859,3.0871,1828.7653,41.2759,Spherical
290,1.1197,0.2622,1.3459,0.3730,46.4480,2.4232,308.3616,41.3159,Non-spherical
291,1.0845,0.0182,1.4255,0.0045,56.8758,0.1660,1507.2822,41.3692,Spherical
292,1.0553,0.0368,1.4327,0.0065,89.9828,0.2812,2439.2694,41.7089,Spherical
293,1.0709,0.0282,1.4358,0.0081,71.1168,0.1757,3334.4476,41.9087,Spherical
294,0.9842,0.0281,1.4484,0.0085,63.4600,0.0860,2436.7841,42.3950,Spherical
295,1.3742,0.3761,1.3448,0.2274,43.7419,1.6186,10.0266,42.5016,Non-spherical
296,1.0397,0.0189,1.4370,0.0056,59.4906,0.1407,2194.1351,42.9212,Spherical
297,0.9606,0.0330,1.4496,0.0102,77.3142,0.1605,3557.1586,42.9146,Spherical
298,1.0396,0.0433,1.4404,0.0062,88.0696,0.2274,4512.4592,43.0844,Spherical
299,1.4777,0.1481,1.4009,0.0222,49.8276,0.2998,709.4013,43.2210,Spherical
300,1.0979,0.0606,1.4255,0.0120,82.2287,0.1028,5243.4225,43.1777,Spherical
301,1.0846,0.0335,1.4309,0.0126,66.9387,0.3308,3736.4436,43.7272,Spherical
302,1.0317,0.0338,1.4350,0.0103,69.6668,0.2740,4770.1700,43.8238,Spherical
303,1.0594,0.0285,1.4392,0.0058,87.8164,0.2352,3837.5181,43.8538,Spherical
304,1.0584,0.0233,1.4279,0.0033,67.7553,0.1772,4317.8342,43.9337,Spherical
305,1.0625,0.0122,1.4277,0.0029,79.2699,0.3635,4114.2807,44.0470,Spherical
306,1.0930,0.0267,1.4283,0.0053,81.5190,0.2517,4105.6368,44.0470,Spherical
307,3.4072,0.2300,1.3728,0.0076,48.9540,2.6317,2179.2616,44.0936,Non-spherical
308,0.4876,0.2367,1.4296,0.0589,64.9300,0.4613,3655.0704,44.1269,Non-spherical
309,1.0163,0.0221,1.4557,0.0094,63.3431,0.1995,3388.5496,44.1535,Spherical
310,2.5644,0.2538,1.3864,0.0153,50.0651,0.5451,647.4598,44.3634,Non-spherical
311,0.9382,0.0288,1.4549,0.0094,84.9764,0.2018,3539.9771,44.2668,Spherical
312,1.7452,0.1013,1.3899,0.0066,80.2761,0.4424,3728.3105,44.3534,Spherical
313,1.1810,0.0486,1.4457,0.0142,83.5856,0.2248,3193.7026,44.4133,Spherical
314,1.0672,0.0207,1.4335,0.0052,70.7120,0.2149,3344.8305,44.5665,Spherical
315,1.7811,0.0507,1.3906,0.0039,78.7127,0.1610,3186.1626,44.7197,Spherical
316,1.8288,0.0483,1.3720,0.0014,82.4621,0.1359,2923.5710,44.7264,Non-spherical
317,1.1271,0.0206,1.4263,0.0054,74.8255,0.2086,3244.5663,44.7530,Spherical
318,1.0238,0.0476,1.4373,0.0136,89.1234,0.2361,2251.9710,44.8063,Spherical
319,0.9303,0.0481,1.4538,0.0142,73.5715,0.0463,3238.3019,45.1993,Spherical
320,1.1410,0.0273,1.4188,0.0051,87.9756,0.1763,2448.5840,45.2993,Spherical
321,1.0822,0.0344,1.4245,0.0072,72.0510,0.1888,3210.3402,45.2959,Spherical
322,3.0085,0.1759,1.3708,0.0040,60.0362,0.6354,2738.3190,45.3592,Non-spherical
323,1.0244,0.0321,1.4405,0.0058,76.6587,0.1272,3076.5230,45.5257,Spherical
324,1.7769,0.1126,1.3825,0.0155,89.9259,0.2236,2073.1228,45.9187,Spherical
325,1.0608,0.0147,1.4343,0.0059,54.2001,0.1746,1205.7513,46.0719,Spherical
326,0.9537,0.0137,1.4561,0.0054,64.1390,0.1475,2878.6930,46.0853,Spherical
327,1.0806,0.0308,1.4238,0.0072,77.2143,0.1853,3368.3179,46.1985,Spherical
328,2.5880,0.2858,1.3586,0.0019,93.4842,1.8187,1465.8365,46.2784,Non-spherical
329,0.4721,0.0933,1.4251,0.0441,90.8803,2.1618,2155.7082,46.3983,Non-spherical
330,1.0325,0.0166,1.4352,0.0046,60.7757,0.2008,2526.5321,47.1244,Spherical
331,1.8749,0.0211,1.3710,0.0011,61.7223,0.1635,2517.1083,47.4575,Spherical
332,1.9950,0.3781,1.3430,0.0273,94.2520,0.9573,1675.5616,47.5574,Non-spherical
333,2.2326,0.0564,1.3675,0.0021,75.9019,0.4868,3111.1692,47.5640,Non-spherical
334,1.1221,0.0343,1.4174,0.0062,78.2386,0.1282,2906.3008,47.8838,Spherical
335,2.4668,0.0532,1.3652,0.0015,76.1161,0.1733,2872.5496,47.9637,Non-spherical
336,0.9793,0.0619,1.4422,0.0120,66.1715,0.1205,2983.9847,48.1702,Spherical
337,1.1190,0.0602,1.4258,0.0285,76.1042,0.1845,3403.1915,48.2701,Spherical
338,1.1211,0.0678,1.4227,0.0151,90.8015,0.2257,2001.7361,48.3101,Spherical
339,1.0072,0.0288,1.4542,0.0070,65.0698,0.1578,2697.7849,48.6498,Spherical
340,0.7038,0.0857,1.3870,0.0236,65.0344,0.2841,2690.4625,48.7098,Non-spherical
341,1.7651,0.0501,1.3812,0.0040,57.7257,0.0349,1694.3638,48.9163,Spherical
342,1.0869,0.0297,1.4276,0.0086,87.2334,0.2145,2124.9314,49.0228,Spherical
343,1.0237,0.0590,1.4402,0.0106,87.4428,0.2927,2302.4869,49.5757,Spherical
344,0.8913,0.2619,1.8795,0.2822,45.5693,1.6144,5.6219,49.8055,Non-spherical
345,1.4588,0.0704,1.4026,0.0115,81.5491,0.2442,2620.4986,50.1419,Spherical
346,0.8248,0.1915,1.3615,0.1164,47.9668,3.1829,2501.8754,50.6948,Non-spherical
347,1.3742,0.2135,1.3447,0.0020,40.7652,0.8372,1.9391,51.0079,Non-spherical
348,0.9901,0.0231,1.4439,0.0031,87.1339,0.4515,2801.7335,51.3143,Spherical
349,1.0079,0.0310,1.4404,0.0081,57.4704,0.1560,1810.5251,51.5541,Spherical
350,1.2590,0.2525,1.4564,0.0336,83.1704,4.7654,2642.7633,51.6007,Non-spherical
351,2.0508,0.0409,1.3825,0.0028,75.3320,0.2860,2986.4418,52.0070,Non-spherical
352,2.3489,0.1842,1.3649,0.0044,66.3104,0.8276,2803.1921,52.0204,Non-spherical
353,1.3560,0.1413,1.3750,0.0330,58.0805,0.2101,1916.7907,52.6265,Spherical
354,1.0289,0.0320,1.4346,0.0061,89.8058,0.3288,2200.3717,52.6998,Spherical
355,1.0564,0.0341,1.4266,0.0076,72.1912,0.2265,3245.6133,52.7331,Spherical
356,0.3994,0.0790,1.4844,0.0492,63.3055,3.8482,2508.7364,52.8730,Non-spherical
357,1.0501,0.0239,1.4322,0.0050,86.1529,0.1590,2439.1259,53.0662,Spherical
358,1.0630,0.0397,1.4350,0.0151,67.6705,0.2148,2646.0921,53.1461,Spherical
359,1.0742,0.0412,1.4271,0.0088,68.3177,0.1900,2655.2491,53.2260,Spherical
360,2.2036,0.1327,1.3678,0.0053,55.9418,0.2878,1527.5139,53.2860,Non-spherical
361,0.5423,0.2041,1.6982,0.1978,48.8285,2.3817,2.2442,53.4492,Non-spherical
362,1.0530,0.0266,1.4350,0.0065,64.1676,0.1926,2879.6846,53.4925,Spherical
363,0.3774,0.0389,1.5235,0.0403,63.7718,4.8783,2759.5217,53.5391,Non-spherical
364,1.0875,0.0105,1.4284,0.0031,63.3169,0.2350,2635.8070,53.6457,Spherical
365,1.1167,0.0413,1.4074,0.0061,63.5754,0.2447,2662.1699,53.6990,Spherical
366,0.6188,0.3248,1.5984,0.2260,46.0744,3.9370,115.3674,53.8055,Non-spherical
367,1.4928,0.0247,1.4221,0.0028,71.6446,0.1672,3085.1305,53.9321,Spherical
368,1.0280,0.0293,1.4402,0.0061,66.0511,0.1331,2565.5263,54.0986,Spherical
369,2.0226,0.0368,1.4145,0.0034,68.9412,0.2544,2619.4299,54.1986,Spherical
370,1.5833,0.0933,1.3856,0.0113,68.2361,0.2116,2622.9330,54.3451,Spherical
371,0.3271,0.3890,1.8693,0.1847,44.7604,1.2801,15.2054,54.5083,Non-spherical
372,1.0788,0.0589,1.4307,0.0182,82.9321,0.2235,2947.2867,54.6382,Spherical
373,2.3475,0.0634,1.3664,0.0027,95.5513,0.2803,945.0537,55.0046,Spherical
374,1.0273,0.0232,1.4292,0.0076,57.2086,0.1129,1504.9971,55.2910,Spherical
375,0.6361,0.0152,1.9516,0.0152,83.0476,0.2016,2712.8811,55.3076,Spherical
376,1.0663,0.0220,1.4268,0.0035,57.6980,0.2823,2047.6100,55.6174,Spherical
377,1.6846,0.0601,1.3827,0.0050,66.6805,0.3205,3070.5866,55.6507,Spherical
378,1.0696,0.0810,1.4342,0.0290,77.0835,0.1338,3127.3916,55.8705,Spherical
379,1.8763,0.1079,1.3773,0.0100,61.8004,0.1331,2413.1138,56.0770,Non-spherical
380,0.2333,0.0062,2.4679,0.0661,55.8572,0.1348,1297.8369,56.3035,Non-spherical
381,1.5526,0.0960,1.4308,0.0094,70.1563,0.2793,2758.0344,56.4833,Spherical
382,1.4903,0.0174,1.4310,0.0022,70.6478,0.4612,2676.7955,56.4900,Non-spherical
383,1.0365,0.0202,1.4309,0.0060,62.2502,0.2870,2114.6924,56.5633,Spherical
384,3.4143,0.3115,1.3557,0.0094,55.7315,0.3923,1846.0102,56.6698,Non-spherical
385,1.8677,0.0473,1.3759,0.0036,67.4734,0.1940,2628.2691,57.5624,Spherical
386,1.3346,0.0793,1.4191,0.0146,77.4281,0.1066,3303.1245,57.7423,Spherical
387,1.1574,0.0145,1.4819,0.0075,74.4036,0.1253,3414.4845,57.7956,Spherical
388,1.0453,0.0308,1.4311,0.0040,74.6082,0.3684,3372.7683,57.8622,Spherical
389,1.0737,0.0298,1.4230,0.0077,71.7029,0.2030,3175.8604,57.9621,Spherical
390,0.3003,0.0033,2.3627,0.0774,63.3483,0.2019,2484.9974,58.0787,Spherical
391,1.7755,0.1273,1.3765,0.0162,59.4239,0.4423,2050.5982,58.3418,Non-spherical
392,1.1387,0.0582,1.4297,0.0103,69.3661,0.2019,2932.7047,58.3351,Spherical
393,0.7240,0.0990,1.3873,0.0325,64.4942,0.1970,2418.8302,58.6016,Non-spherical
394,2.8502,0.2336,1.3500,0.0027,81.4051,0.4980,2777.8551,58.7748,Non-spherical
395,1.1226,0.0254,1.4153,0.0050,78.6825,0.1648,3420.7775,58.8081,Spherical
396,1.0567,0.0329,1.4307,0.0061,78.5409,0.1321,2950.8089,59.3743,Spherical
397,1.1205,0.0246,1.4194,0.0048,67.5503,0.1679,2733.1263,59.4609,Spherical
398,2.9057,0.1105,1.3739,0.0020,55.5931,1.6205,2151.7951,59.8672,Non-spherical
399,1.3849,0.1394,1.3495,0.0063,58.0152,0.3413,2072.2936,59.9838,Non-spherical
400,0.9980,0.0211,1.4528,0.0044,72.7132,0.1934,3414.3695,60.0937,Spherical
401,1.0494,0.0452,1.4257,0.0126,84.1166,0.2408,2856.5106,60.1403,Spherical
402,1.0347,0.0307,1.4387,0.0082,92.8634,0.1641,1941.6758,60.1669,Spherical
403,1.6383,0.2086,1.4049,0.0265,82.4527,0.0672,2805.5174,60.2535,Spherical
404,1.0761,0.0501,1.4098,0.0109,84.2080,0.3050,2553.8365,60.6532,Spherical
405,2.0274,0.0324,1.4019,0.0032,60.6278,0.3136,2143.8685,60.7331,Non-spherical
406,0.9818,0.0335,1.4614,0.0116,78.1609,0.1633,2895.4722,60.7798,Spherical
407,0.6600,0.0343,1.4590,0.0178,64.6082,0.2220,2809.8679,61.2127,Spherical
408,0.9831,0.0249,1.4580,0.0075,75.9430,0.2547,3353.2905,61.3060,Spherical
409,1.0943,0.0546,1.4249,0.0155,78.9807,0.1734,3172.3701,61.3793,Spherical
410,0.2114,0.0056,2.7049,0.1165,61.4800,0.0735,2311.7310,61.4126,Non-spherical
411,1.0285,0.0297,1.4491,0.0079,63.5591,0.2547,2467.6812,61.6191,Spherical
412,1.0532,0.0420,1.4413,0.0106,91.2608,0.2838,1816.5921,61.6524,Spherical
413,1.0685,0.0239,1.4272,0.0066,87.5962,0.3208,3671.1974,62.2119,Spherical
414,0.6720,0.1206,1.4270,0.0398,82.5484,2.4869,4453.7294,62.2585,Non-spherical
415,1.0217,0.0229,1.4539,0.0061,62.6550,0.1671,3796.0474,62.2719,Spherical
416,2.2315,0.0370,1.3820,0.0020,75.7867,0.0469,4271.2115,62.5883,Non-spherical
417,0.9614,0.0220,1.4680,0.0080,61.6863,0.1909,3076.5610,62.6316,Spherical
418,0.9812,0.0269,1.4557,0.0112,56.6273,0.2153,1927.4288,62.7781,Spherical
419,2.3869,0.1572,1.3636,0.0053,83.1039,0.4718,3040.5993,62.8181,Non-spherical
420,2.1314,0.0668,1.3713,0.0020,65.4570,0.3278,3156.5837,62.9247,Non-spherical
421,0.9585,0.0250,1.4461,0.0056,65.1025,0.1160,3034.9696,62.9979,Spherical
422,1.6184,0.1269,1.3452,0.0010,60.3010,0.9086,2343.6023,63.0046,Non-spherical
423,1.7664,0.0706,1.3767,0.0060,95.4567,0.3695,1396.3343,63.0446,Spherical
424,0.8834,0.0397,1.4802,0.0137,59.9909,0.1533,2786.5717,63.0645,Spherical
425,0.8609,0.4103,1.5831,0.3493,44.7177,2.8824,2.3405,63.1345,Non-spherical
426,1.0377,0.0166,1.4296,0.0028,80.6365,0.2238,3781.1700,63.2444,Spherical
427,1.8190,0.0835,1.3434,0.0004,96.8424,0.2811,1044.0185,63.3710,Non-spherical
428,2.4830,0.0208,1.3656,0.0008,74.7489,0.2098,3538.8990,63.5175,Non-spherical
429,1.0440,0.0359,1.4261,0.0079,83.5841,0.2123,2941.2099,63.6840,Spherical
430,1.9216,0.0328,1.3690,0.0021,78.1797,0.1118,3104.3820,63.8106,Non-spherical
431,2.0135,0.3337,1.3886,0.0090,81.0760,2.1764,2791.3599,63.8905,Non-spherical
432,1.0430,0.0306,1.4441,0.0055,62.3431,0.2477,2338.4034,63.9505,Spherical
433,1.0420,0.0640,1.4329,0.0227,61.1842,0.1864,2127.1728,63.9971,Spherical
434,0.6788,0.0117,1.5264,0.0047,84.5059,0.2205,2589.6556,64.0770,Spherical
435,1.8732,0.0605,1.3722,0.0037,67.0479,0.2289,2868.6996,64.5433,Non-spherical
436,0.8603,0.0492,1.4130,0.0101,72.9422,0.2352,3155.4496,64.6432,Spherical
437,1.0735,0.0364,1.4359,0.0069,79.9977,0.2753,3426.0754,65.2094,Spherical
438,4.1425,0.1223,1.3478,0.0005,68.8273,1.3389,2787.8415,65.9155,Non-spherical
439,1.4938,0.0526,1.4265,0.0076,67.6876,0.0609,2576.8734,66.0821,Spherical
440,1.8965,0.0645,1.3709,0.0013,78.4718,0.6738,2547.2446,66.1287,Non-spherical
441,0.3124,0.2886,2.2104,0.2387,48.3830,1.4922,12.6280,66.4151,Non-spherical
442,1.0538,0.0572,1.4364,0.0099,78.7785,0.2563,3264.3718,66.4018,Spherical
443,1.9556,0.0864,1.3734,0.0043,61.2655,0.4980,2434.1387,66.4751,Non-spherical
444,1.4181,0.0247,1.3909,0.0029,76.7394,0.2502,3144.0931,66.5816,Spherical
445,2.4483,0.0577,1.3655,0.0016,71.4880,0.2194,3086.3461,66.6549,Non-spherical
446,0.1979,0.0306,2.3054,0.1124,82.3594,4.6643,2777.9235,66.7215,Non-spherical
447,5.6212,0.4021,1.3489,0.0031,55.5769,2.2543,2032.9227,66.7781,Non-spherical
448,1.6743,0.3775,1.3445,0.4140,42.9486,1.6411,7.6136,66.8381,Non-spherical
449,1.0020,0.0085,1.4499,0.0045,93.7387,0.2711,1608.9492,66.8947,Spherical
450,2.4758,0.1750,1.3677,0.0086,62.5139,0.2659,2405.1921,66.9413,Non-spherical
451,0.2718,0.4517,1.9002,0.2937,44.7172,2.1545,20.2207,67.0346,Non-spherical
452,1.1026,0.0390,1.4355,0.0093,75.2921,0.2056,2676.3200,67.1345,Spherical
453,1.1108,0.0189,1.4184,0.0045,77.2649,0.2502,3169.1020,67.3610,Spherical
454,2.2191,0.1140,1.3679,0.0066,93.4948,0.4980,1581.6656,67.4409,Non-spherical
455,2.4684,0.1392,1.3664,0.0052,66.5699,1.1674,3019.5804,67.4676,Non-spherical
456,1.4996,0.3281,1.3466,0.3234,41.2751,1.9127,11.1173,67.6141,Non-spherical
457,1.1584,0.0124,1.4187,0.0038,74.7887,0.1933,2927.3523,67.7940,Spherical
458,1.1003,0.0289,1.4326,0.0076,63.0411,0.2234,2269.5000,67.9005,Spherical
459,1.0593,0.0396,1.4405,0.0072,67.4084,0.1587,2605.4270,67.9139,Spherical
460,0.9705,0.0545,1.4562,0.0193,75.1318,0.1679,2546.2747,68.1204,Non-spherical
461,0.2684,0.3538,2.0063,0.3858,44.7766,1.7945,69.9000,68.2369,Non-spherical
462,2.1779,0.0558,1.3686,0.0032,64.5595,0.1953,2258.7574,68.3235,Non-spherical
463,1.0883,0.0201,1.4073,0.0035,68.2903,0.1523,2715.5832,68.4001,Spherical
464,1.0031,0.0206,1.4465,0.0032,72.3570,0.1394,2853.2197,69.0063,Spherical
465,1.0175,0.0539,1.4332,0.0113,87.5980,0.2381,2136.0082,69.0396,Spherical
466,1.8850,0.0233,1.3909,0.0024,71.4754,0.3025,2604.3148,69.2794,Spherical
467,1.0420,0.0120,1.4305,0.0056,66.9372,0.1415,2454.0883,69.2927,Spherical
468,1.2812,0.0919,1.3525,0.0029,63.9048,1.3504,2146.8892,69.3926,Non-spherical
469,1.0641,0.0437,1.4283,0.0121,64.4558,0.2402,2787.6760,69.5192,Spherical
470,1.0650,0.0370,1.4332,0.0054,85.8688,0.2076,2718.4703,69.5525,Spherical
471,2.4399,0.1107,1.3939,0.0054,68.5852,0.2164,2985.3673,69.8856,Non-spherical
472,0.9457,0.0419,1.4518,0.0122,78.1085,0.2164,2924.0300,70.0188,Spherical
473,1.7679,0.0433,1.3815,0.0036,55.9931,0.2620,1475.8957,70.0721,Spherical
474,1.7129,0.0210,1.3439,0.0004,38.6663,0.2198,1.8396,70.3785,Non-spherical
475,1.6195,0.1083,1.3933,0.0129,88.9266,0.2184,2214.8076,70.5517,Spherical
476,1.0381,0.0084,1.4343,0.0040,60.2425,0.1248,2002.2232,70.9647,Spherical
477,2.6713,0.0885,1.3671,0.0028,82.7365,0.1066,2673.5353,70.9780,Non-spherical
478,0.4421,0.0170,1.9563,0.0126,82.0397,0.2564,2432.6355,71.1978,Spherical
479,1.0943,0.0474,1.4291,0.0123,91.9063,0.2952,1488.2025,71.3377,Spherical
480,1.0043,0.0392,1.4404,0.0106,90.6775,0.2013,1764.8193,71.4643,Spherical
481,1.5761,0.1236,1.3445,0.0005,43.8755,1.3316,91.9421,71.6508,Non-spherical
482,0.3154,0.0059,2.0133,0.0511,71.8982,0.3144,3162.1547,71.7507,Non-spherical
483,1.5486,0.2876,1.3435,0.0352,99.1442,2.1025,653.8867,71.8240,Non-spherical
484,1.6488,0.0620,1.3881,0.0052,61.6813,0.3322,2320.9028,71.8240,Non-spherical
485,1.0455,0.0199,1.4388,0.0045,55.3079,0.1772,1237.7681,71.9239,Spherical
486,1.1144,0.0612,1.4374,0.0133,80.4782,0.2843,2841.3679,72.8964,Spherical
487,1.0138,0.0264,1.4321,0.0068,71.4138,0.1718,3095.3455,72.9031,Spherical
488,1.0388,0.0313,1.4365,0.0078,83.6931,0.2472,2716.0686,73.0496,Spherical
489,0.4268,0.0866,1.4641,0.0894,80.5907,3.2140,3029.2663,73.0463,Non-spherical
490,1.0475,0.0159,1.4467,0.0053,57.8620,0.2468,1474.5161,73.5559,Spherical
491,1.6332,0.1242,1.4112,0.0129,66.5399,0.2655,2425.7753,73.5892,Spherical
492,1.8412,0.1419,1.3761,0.0262,91.4261,0.2258,1638.1244,73.6025,Spherical
493,1.8301,0.0406,1.3572,0.0011,57.9807,0.2837,1582.6108,73.6891,Spherical
494,1.0774,0.0272,1.4187,0.0070,85.6692,0.1692,2789.2672,73.7957,Spherical
495,1.8775,0.0528,1.3694,0.0038,62.6743,0.0889,2618.0367,74.0621,Non-spherical
496,1.3911,0.3175,1.3430,0.0082,96.7581,3.2310,848.6210,74.2686,Non-spherical
497,1.8336,0.0190,1.3756,0.0008,57.4864,0.3046,1553.3430,74.7815,Non-spherical
498,1.0984,0.0361,1.4346,0.0089,68.1325,0.1871,3049.0927,74.9081,Spherical
499,0.2411,0.0066,2.3580,0.1156,99.7780,0.4652,443.1113,75.0213,Non-spherical
500,1.7216,0.0451,1.4065,0.0049,79.7046,0.3319,3028.0755,75.0546,Non-spherical
501,2.0960,0.1112,1.3733,0.0092,85.9217,0.2721,2623.4810,75.1346,Spherical
502,0.2348,0.0219,2.2894,0.2016,99.6107,4.0231,231.0439,75.2012,Non-spherical
503,1.0600,0.0356,1.4395,0.0105,93.1591,0.1316,1625.8415,75.4143,Spherical
504,1.0400,0.0356,1.4229,0.0069,67.3689,0.1625,2504.0230,75.5875,Spherical
505,1.0727,0.0489,1.4397,0.0127,68.7960,0.2639,2539.4734,75.6941,Spherical
506,1.1239,0.0475,1.4232,0.0099,64.6785,0.3457,2215.7441,75.7341,Non-spherical
507,1.0920,0.0245,1.4347,0.0058,80.0171,0.1378,2474.0589,75.7441,Spherical
508,2.4833,0.1454,1.3650,0.0041,65.2548,1.0536,3044.6765,76.0138,Non-spherical
509,0.7539,0.0614,1.3963,0.0147,63.7299,0.1500,2259.1941,76.7665,Spherical
510,1.5637,0.1859,1.4022,0.0206,87.4628,0.0562,4196.5560,77.2761,Spherical
511,0.4871,0.3615,1.9992,0.4314,48.8542,2.8040,,77.4027,Non-spherical
512,1.2059,0.0342,1.4337,0.0075,57.6285,0.1363,2805.8320,77.4193,Spherical
513,1.1428,0.0214,1.4210,0.0025,89.7941,0.2472,3072.1884,77.5159,Spherical
514,1.3034,0.1068,1.3778,0.0146,49.3479,2.3603,1651.8019,77.7757,Spherical
515,0.4113,0.0705,1.4556,0.0472,66.4984,0.4779,4137.0855,77.5592,Non-spherical
516,1.0403,0.0268,1.4379,0.0080,66.0636,0.2200,3831.8628,77.7790,Spherical
517,1.7700,0.1132,1.3754,0.0134,57.8466,0.2226,2423.0019,77.8257,Spherical
518,0.6864,0.0637,1.4989,0.0285,81.3281,0.1335,3817.8032,77.9655,Spherical
519,1.6786,0.1129,1.3862,0.0221,52.4310,0.2331,1353.2158,78.1121,Spherical
520,1.8537,0.0225,1.3746,0.0019,76.2832,0.4095,4237.6470,78.1621,Spherical
521,1.0159,0.0119,1.4447,0.0050,77.4386,0.2281,4304.3506,78.1687,Spherical
522,1.0454,0.0290,1.4459,0.0081,74.4621,0.2401,4376.3544,78.1987,Spherical
523,1.8158,0.0396,1.3736,0.0019,65.1814,0.2064,3721.1258,78.2586,Spherical
524,1.8644,0.0752,1.3735,0.0048,62.1938,0.2432,3271.0396,78.2720,Non-spherical
525,1.0226,0.0360,1.4375,0.0116,82.0676,0.1897,3640.7487,78.5051,Spherical
526,1.1139,0.0351,1.4342,0.0071,61.0780,0.1957,2660.7228,78.5651,Spherical
527,0.6477,0.2669,1.3482,0.2747,48.4162,2.1862,6.0362,78.8115,Non-spherical
528,2.3321,0.1965,1.3678,0.0087,94.0058,0.4546,1397.7922,79.0979,Non-spherical
529,1.1114,0.0286,1.4210,0.0075,62.9469,0.1139,2471.0414,79.1013,Spherical
530,0.8513,0.0401,1.3992,0.0074,64.1411,0.2380,3051.9129,79.1779,Spherical
531,1.3467,0.1749,1.3430,0.1075,42.5760,2.9784,15.8793,79.3877,Non-spherical
532,1.0321,0.0266,1.4240,0.0040,87.9141,0.3650,2609.8906,79.5975,Spherical
533,0.9488,0.2960,1.6797,0.1653,44.8631,1.6444,7.0584,79.8673,Non-spherical
534,0.9870,0.0287,1.4458,0.0063,75.8050,0.2469,2913.9885,79.9206,Spherical
535,0.9546,0.0354,1.4439,0.0133,76.5077,0.1447,3009.6372,80.0238,Spherical
536,2.1529,0.1980,1.3671,0.0180,56.1620,0.3936,1829.4310,80.1970,Non-spherical
537,0.3794,0.3323,1.7924,0.2510,47.6471,1.8631,28.5002,80.4035,Non-spherical
538,1.0879,0.0324,1.4304,0.0068,78.7996,0.1667,3342.7141,80.4169,Spherical
539,1.0314,0.0274,1.4380,0.0047,65.4876,0.2230,2862.0242,80.4635,Spherical
540,0.2909,0.2960,2.0286,0.1814,44.6852,1.3915,11.4892,80.9164,Non-spherical
541,2.1454,0.2301,1.3705,0.0036,65.1595,1.1587,3066.9268,81.2562,Non-spherical
542,1.7142,0.5158,1.3446,0.5520,40.5574,3.5677,,81.3960,Non-spherical
543,2.9631,0.1073,1.3537,0.0021,74.7457,1.4908,3255.8087,81.5959,Non-spherical
544,0.2546,0.3596,2.0427,0.3451,46.6254,1.6566,25.7524,81.6525,Non-spherical
545,1.0784,0.0254,1.4326,0.0040,86.5788,0.1221,2501.7956,81.8756,Spherical
546,0.9802,0.0328,1.4454,0.0110,62.2066,0.3163,2137.8593,82.0488,Spherical
547,0.4176,0.2815,1.6738,0.2822,47.2983,3.1622,54.1478,82.1188,Non-spherical
548,1.1166,0.0508,1.4164,0.0054,75.1467,0.2943,2811.3061,82.2287,Spherical
549,1.6266,0.0559,1.3907,0.0056,71.6136,0.1248,2684.3305,82.2753,Spherical
550,1.6964,0.3460,1.3440,0.0010,40.9659,5.2360,106.2192,82.3020,Non-spherical
551,0.5178,0.0320,1.4368,0.0191,86.6062,0.3016,2846.0324,82.4152,Non-spherical
552,1.0972,0.0248,1.4352,0.0036,51.5158,0.1399,621.1361,82.6483,Spherical
553,1.7678,0.0467,1.3790,0.0037,57.4917,0.4462,1971.3870,82.5617,Non-spherical
