,Unnamed: 0,d_p,dd_p,n_p,dn_p,z_p,z uncertainty [μm],v [μm / s],timestamp [s],symmetry,label
89,89,1.8657,0.1144,1.3845,0.0095,86.3567,0.3916,2543.2072,14.0951,0,dimer
90,90,1.5614,0.0381,1.4173,0.0056,73.226,0.0905,2955.1988,14.2982,0,dimer
92,92,1.0144,0.0192,1.4489,0.0058,77.5563,0.2352,2901.5941,14.4981,1,monomer
94,94,0.9978,0.0383,1.4415,0.0074,74.394,0.2464,2725.606,14.8112,0,monomer
95,95,1.9581,0.0495,1.3966,0.006,81.1788,0.3457,3884.5878,14.9044,1,dimer
96,96,1.0206,0.0301,1.4345,0.0071,82.4065,0.2397,4546.3262,15.0476,0,monomer
97,97,1.8264,0.0362,1.3819,0.0013,76.4447,0.2674,4238.763,15.2541,1,dimer
98,98,1.0197,0.0647,1.4265,0.0109,78.9075,0.237,4128.2823,15.3374,0,monomer
99,99,1.0816,0.0543,1.4249,0.0144,82.2388,0.2662,3650.3713,15.384,0,monomer
102,102,1.0973,0.0242,1.4237,0.0042,56.2032,0.2477,1763.4077,15.5239,0,monomer
103,103,1.0669,0.0174,1.4365,0.0029,54.7194,0.1154,1455.3597,15.7171,1,monomer
104,104,1.0184,0.0286,1.4381,0.0038,77.2564,0.19,3879.6674,16.0568,0,monomer
107,107,1.4895,0.1079,1.3987,0.0191,77.1438,0.1129,3313.2551,16.4631,0,dimer
110,110,1.0151,0.0498,1.4381,0.0134,77.5319,0.1982,3088.1171,16.7162,0,monomer
111,111,1.0725,0.0348,1.4445,0.009,81.1469,0.205,2810.3302,16.7829,1,monomer
113,113,1.029,0.0366,1.4371,0.0061,59.169,0.1105,2220.6684,17.2691,0,monomer
114,114,1.9408,0.029,1.371,0.0014,69.8261,0.3598,3315.1306,17.3491,1,dimer
117,117,0.9604,0.0602,1.4607,0.0141,71.6023,0.2101,3502.6763,18.1617,0,monomer
119,119,0.9919,0.0514,1.4512,0.0119,88.0239,0.3515,2501.3767,18.4481,0,monomer
127,127,1.052,0.0291,1.4286,0.0068,90.453,0.474,2097.5952,19.3874,0,monomer
128,128,1.1392,0.1279,1.3625,0.0049,60.6098,2.0275,2399.754,19.4407,1,extra
129,129,1.6327,0.0684,1.3915,0.0053,57.8065,0.1824,1960.5451,19.5539,1,dimer
132,132,1.0564,0.0296,1.4409,0.0087,78.0687,0.3529,3269.0553,20.3466,0,monomer
134,134,1.7786,0.1415,1.3766,0.0198,89.9509,0.3329,1980.6735,20.7462,0,dimer
